fold,sku_id,channel_id,model,train_weeks,test_weeks,fit_status,convergence_warning,warning_count,warning_message,error_message
11,APS-001,RETAIL,HW_Add_Add,234,13,SUCCESS,False,0,,
11,APS-001,RETAIL,HW_Damped_Add,234,13,SUCCESS,False,0,,
11,APS-001,RETAIL,HW_Damped_Mul,234,13,SUCCESS,False,0,,
12,APS-001,RETAIL,HW_Add_Add,247,13,SUCCESS,False,0,,
12,APS-001,RETAIL,HW_Damped_Add,247,13,SUCCESS,False,0,,
12,APS-001,RETAIL,HW_Damped_Mul,247,13,SUCCESS,False,0,,
1,APS-001,WHOLESALE,HW_Add_Add,104,13,SUCCESS,False,0,,
1,APS-001,WHOLESALE,HW_Damped_Add,104,13,SUCCESS,False,0,,
1,APS-001,WHOLESALE,HW_Damped_Mul,104,13,SUCCESS,False,0,,
2,APS-001,WHOLESALE,HW_Add_Add,117,13,SUCCESS,False,0,,
2,APS-001,WHOLESALE,HW_Damped_Add,117,13,SUCCESS,False,0,,
2,APS-001,WHOLESALE,HW_Damped_Mul,117,13,SUCCESS,False,0,,
3,APS-001,WHOLESALE,HW_Add_Add,130,13,SUCCESS,False,0,,
3,APS-001,WHOLESALE,HW_Damped_Add,130,13,SUCCESS,False,0,,
3,APS-001,WHOLESALE,HW_Damped_Mul,130,13,SUCCESS,False,0,,
4,APS-001,WHOLESALE,HW_Add_Add,143,13,SUCCESS,False,0,,
4,APS-001,WHOLESALE,HW_Damped_Add,143,13,SUCCESS,False,0,,
4,APS-001,WHOLESALE,HW_Damped_Mul,143,13,SUCCESS,True,1,Optimization failed to converge. Check mle_retvals.,
5,APS-001,WHOLESALE,HW_Add_Add,156,13,SUCCESS,False,0,,
5,APS-001,WHOLESALE,HW_Damped_Add,156,13,SUCCESS,False,0,,
5,APS-001,WHOLESALE,HW_Damped_Mul,156,13,SUCCESS,False,0,,
6,APS-001,WHOLESALE,HW_Add_Add,169,13,SUCCESS,False,0,,
6,APS-001,WHOLESALE,HW_Damped_Add,169,13,SUCCESS,False,0,,
6,APS-001,WHOLESALE,HW_Damped_Mul,169,13,SUCCESS,False,0,,
7,APS-001,WHOLESALE,HW_Add_Add,182,13,SUCCESS,False,0,,
7,APS-001,WHOLESALE,HW_Damped_Add,182,13,SUCCESS,False,0,,
7,APS-001,WHOLESALE,HW_Damped_Mul,182,13,SUCCESS,False,0,,
8,APS-001,WHOLESALE,HW_Add_Add,195,13,SUCCESS,False,0,,
8,APS-001,WHOLESALE,HW_Damped_Add,195,13,SUCCESS,False,0,,
8,APS-001,WHOLESALE,HW_Damped_Mul,195,13,SUCCESS,False,0,,
9,APS-001,WHOLESALE,HW_Add_Add,208,13,SUCCESS,False,0,,
9,APS-001,WHOLESALE,HW_Damped_Add,208,13,SUCCESS,False,0,,
9,APS-001,WHOLESALE,HW_Damped_Mul,208,13,SUCCESS,False,0,,
10,APS-001,WHOLESALE,HW_Add_Add,221,13,SUCCESS,False,0,,
10,APS-001,WHOLESALE,HW_Damped_Add,221,13,SUCCESS,False,0,,
10,APS-001,WHOLESALE,HW_Damped_Mul,221,13,SUCCESS,False,0,,
11,APS-001,WHOLESALE,HW_Add_Add,234,13,SUCCESS,False,0,,
11,APS-001,WHOLESALE,HW_Damped_Add,234,13,SUCCESS,False,0,,
11,APS-001,WHOLESALE,HW_Damped_Mul,234,13,SUCCESS,False,0,,
12,APS-001,WHOLESALE,HW_Add_Add,247,13,SUCCESS,False,0,,
12,APS-001,WHOLESALE,HW_Damped_Add,247,13,SUCCESS,False,0,,
12,APS-001,WHOLESALE,HW_Damped_Mul,247,13,SUCCESS,False,0,,
1,CTS-001,ECOM,HW_Add_Add,104,13,SUCCESS,False,0,,
1,CTS-001,ECOM,HW_Damped_Add,104,13,SUCCESS,False,0,,
1,CTS-001,ECOM,HW_Damped_Mul,104,13,SUCCESS,False,0,,
2,CTS-001,ECOM,HW_Add_Add,117,13,SUCCESS,False,0,,
2,CTS-001,ECOM,HW_Damped_Add,117,13,SUCCESS,False,0,,
2,CTS-001,ECOM,HW_Damped_Mul,117,13,SUCCESS,False,0,,
3,CTS-001,ECOM,HW_Add_Add,130,13,SUCCESS,False,0,,
3,CTS-001,ECOM,HW_Damped_Add,130,13,SUCCESS,False,0,,
3,CTS-001,ECOM,HW_Damped_Mul,130,13,SUCCESS,False,0,,
4,CTS-001,ECOM,HW_Add_Add,143,13,SUCCESS,False,0,,
4,CTS-001,ECOM,HW_Damped_Add,143,13,SUCCESS,True,1,Optimization failed to converge. Check mle_retvals.,
4,CTS-001,ECOM,HW_Damped_Mul,143,13,SUCCESS,False,0,,
5,CTS-001,ECOM,HW_Add_Add,156,13,SUCCESS,False,0,,
5,CTS-001,ECOM,HW_Damped_Add,156,13,SUCCESS,False,0,,
5,CTS-001,ECOM,HW_Damped_Mul,156,13,SUCCESS,False,0,,
6,CTS-001,ECOM,HW_Add_Add,169,13,SUCCESS,False,0,,
6,CTS-001,ECOM,HW_Damped_Add,169,13,SUCCESS,False,0,,
6,CTS-001,ECOM,HW_Damped_Mul,169,13,SUCCESS,False,0,,
7,CTS-001,ECOM,HW_Add_Add,182,13,SUCCESS,False,0,,
7,CTS-001,ECOM,HW_Damped_Add,182,13,SUCCESS,False,0,,
7,CTS-001,ECOM,HW_Damped_Mul,182,13,SUCCESS,False,0,,
8,CTS-001,ECOM,HW_Add_Add,195,13,SUCCESS,False,0,,
8,CTS-001,ECOM,HW_Damped_Add,195,13,SUCCESS,False,0,,
8,CTS-001,ECOM,HW_Damped_Mul,195,13,SUCCESS,False,0,,
9,CTS-001,ECOM,HW_Add_Add,208,13,SUCCESS,False,0,,
9,CTS-001,ECOM,HW_Damped_Add,208,13,SUCCESS,False,0,,
9,CTS-001,ECOM,HW_Damped_Mul,208,13,SUCCESS,False,0,,
10,CTS-001,ECOM,HW_Add_Add,221,13,SUCCESS,False,0,,
10,CTS-001,ECOM,HW_Damped_Add,221,13,SUCCESS,False,0,,
10,CTS-001,ECOM,HW_Damped_Mul,221,13,SUCCESS,False,0,,
11,CTS-001,ECOM,HW_Add_Add,234,13,SUCCESS,False,0,,
11,CTS-001,ECOM,HW_Damped_Add,234,13,SUCCESS,False,0,,
11,CTS-001,ECOM,HW_Damped_Mul,234,13,SUCCESS,False,0,,
12,CTS-001,ECOM,HW_Add_Add,247,13,SUCCESS,False,0,,
12,CTS-001,ECOM,HW_Damped_Add,247,13,SUCCESS,False,0,,
12,CTS-001,ECOM,HW_Damped_Mul,247,13,SUCCESS,False,0,,
1,CTS-001,RETAIL,HW_Add_Add,104,13,SUCCESS,False,0,,
1,CTS-001,RETAIL,HW_Damped_Add,104,13,SUCCESS,True,1,Optimization failed to converge. Check mle_retvals.,
1,CTS-001,RETAIL,HW_Damped_Mul,104,13,SUCCESS,False,0,,
2,CTS-001,RETAIL,HW_Add_Add,117,13,SUCCESS,False,0,,
2,CTS-001,RETAIL,HW_Damped_Add,117,13,SUCCESS,True,1,Optimization failed to converge. Check mle_retvals.,
2,CTS-001,RETAIL,HW_Damped_Mul,117,13,SUCCESS,False,0,,
3,CTS-001,RETAIL,HW_Add_Add,130,13,SUCCESS,False,0,,
3,CTS-001,RETAIL,HW_Damped_Add,130,13,SUCCESS,True,1,Optimization failed to converge. Check mle_retvals.,
3,CTS-001,RETAIL,HW_Damped_Mul,130,13,SUCCESS,False,0,,
4,CTS-001,RETAIL,HW_Add_Add,143,13,SUCCESS,False,0,,
4,CTS-001,RETAIL,HW_Damped_Add,143,13,SUCCESS,False,0,,
4,CTS-001,RETAIL,HW_Damped_Mul,143,13,SUCCESS,False,0,,
5,CTS-001,RETAIL,HW_Add_Add,156,13,SUCCESS,False,0,,
5,CTS-001,RETAIL,HW_Damped_Add,156,13,SUCCESS,False,0,,
5,CTS-001,RETAIL,HW_Damped_Mul,156,13,SUCCESS,False,0,,
6,CTS-001,RETAIL,HW_Add_Add,169,13,SUCCESS,False,0,,
6,CTS-001,RETAIL,HW_Damped_Add,169,13,SUCCESS,False,0,,
6,CTS-001,RETAIL,HW_Damped_Mul,169,13,SUCCESS,False,0,,
7,CTS-001,RETAIL,HW_Add_Add,182,13,SUCCESS,False,0,,
7,CTS-001,RETAIL,HW_Damped_Add,182,13,SUCCESS,False,0,,
7,CTS-001,RETAIL,HW_Damped_Mul,182,13,SUCCESS,False,0,,
8,CTS-001,RETAIL,HW_Add_Add,195,13,SUCCESS,False,0,,
8,CTS-001,RETAIL,HW_Damped_Add,195,13,SUCCESS,False,0,,
8,CTS-001,RETAIL,HW_Damped_Mul,195,13,SUCCESS,False,0,,
9,CTS-001,RETAIL,HW_Add_Add,208,13,SUCCESS,False,0,,
9,CTS-001,RETAIL,HW_Damped_Add,208,13,SUCCESS,False,0,,
9,CTS-001,RETAIL,HW_Damped_Mul,208,13,SUCCESS,False,0,,
10,CTS-001,RETAIL,HW_Add_Add,221,13,SUCCESS,False,0,,
10,CTS-001,RETAIL,HW_Damped_Add,221,13,SUCCESS,False,0,,
10,CTS-001,RETAIL,HW_Damped_Mul,221,13,SUCCESS,False,0,,
11,CTS-001,RETAIL,HW_Add_Add,234,13,SUCCESS,False,0,,
11,CTS-001,RETAIL,HW_Damped_Add,234,13,SUCCESS,False,0,,
11,CTS-001,RETAIL,HW_Damped_Mul,234,13,SUCCESS,False,0,,
12,CTS-001,RETAIL,HW_Add_Add,247,13,SUCCESS,False,0,,
12,CTS-001,RETAIL,HW_Damped_Add,247,13,SUCCESS,False,0,,
12,CTS-001,RETAIL,HW_Damped_Mul,247,13,SUCCESS,False,0,,
1,CTS-001,WHOLESALE,HW_Add_Add,104,13,SUCCESS,False,0,,
1,CTS-001,WHOLESALE,HW_Damped_Add,104,13,SUCCESS,False,0,,
1,CTS-001,WHOLESALE,HW_Damped_Mul,104,13,SUCCESS,False,0,,
2,CTS-001,WHOLESALE,HW_Add_Add,117,13,SUCCESS,False,0,,
2,CTS-001,WHOLESALE,HW_Damped_Add,117,13,SUCCESS,False,0,,
2,CTS-001,WHOLESALE,HW_Damped_Mul,117,13,SUCCESS,False,0,,
3,CTS-001,WHOLESALE,HW_Add_Add,130,13,SUCCESS,True,1,Optimization failed to converge. Check mle_retvals.,
3,CTS-001,WHOLESALE,HW_Damped_Add,130,13,SUCCESS,True,1,Optimization failed to converge. Check mle_retvals.,
3,CTS-001,WHOLESALE,HW_Damped_Mul,130,13,SUCCESS,False,0,,
4,CTS-001,WHOLESALE,HW_Add_Add,143,13,SUCCESS,False,0,,
4,CTS-001,WHOLESALE,HW_Damped_Add,143,13,SUCCESS,False,0,,
4,CTS-001,WHOLESALE,HW_Damped_Mul,143,13,SUCCESS,False,0,,
5,CTS-001,WHOLESALE,HW_Add_Add,156,13,SUCCESS,False,0,,
5,CTS-001,WHOLESALE,HW_Damped_Add,156,13,SUCCESS,False,0,,
5,CTS-001,WHOLESALE,HW_Damped_Mul,156,13,SUCCESS,False,0,,
6,CTS-001,WHOLESALE,HW_Add_Add,169,13,SUCCESS,False,0,,
6,CTS-001,WHOLESALE,HW_Damped_Add,169,13,SUCCESS,False,0,,
6,CTS-001,WHOLESALE,HW_Damped_Mul,169,13,SUCCESS,False,0,,
7,CTS-001,WHOLESALE,HW_Add_Add,182,13,SUCCESS,False,0,,
7,CTS-001,WHOLESALE,HW_Damped_Add,182,13,SUCCESS,False,0,,
7,CTS-001,WHOLESALE,HW_Damped_Mul,182,13,SUCCESS,False,0,,
8,CTS-001,WHOLESALE,HW_Add_Add,195,13,SUCCESS,False,0,,
8,CTS-001,WHOLESALE,HW_Damped_Add,195,13,SUCCESS,False,0,,
8,CTS-001,WHOLESALE,HW_Damped_Mul,195,13,SUCCESS,False,0,,
9,CTS-001,WHOLESALE,HW_Add_Add,208,13,SUCCESS,False,0,,
9,CTS-001,WHOLESALE,HW_Damped_Add,208,13,SUCCESS,False,0,,
9,CTS-001,WHOLESALE,HW_Damped_Mul,208,13,SUCCESS,False,0,,
10,CTS-001,WHOLESALE,HW_Add_Add,221,13,SUCCESS,False,0,,
10,CTS-001,WHOLESALE,HW_Damped_Add,221,13,SUCCESS,False,0,,
10,CTS-001,WHOLESALE,HW_Damped_Mul,221,13,SUCCESS,False,0,,
11,CTS-001,WHOLESALE,HW_Add_Add,234,13,SUCCESS,False,0,,
11,CTS-001,WHOLESALE,HW_Damped_Add,234,13,SUCCESS,False,0,,
11,CTS-001,WHOLESALE,HW_Damped_Mul,234,13,SUCCESS,False,0,,
12,CTS-001,WHOLESALE,HW_Add_Add,247,13,SUCCESS,False,0,,
12,CTS-001,WHOLESALE,HW_Damped_Add,247,13,SUCCESS,False,0,,
12,CTS-001,WHOLESALE,HW_Damped_Mul,247,13,SUCCESS,False,0,,
1,IMH-001,ECOM,HW_Add_Add,104,13,SUCCESS,False,0,,
1,IMH-001,ECOM,HW_Damped_Add,104,13,SUCCESS,False,0,,
1,IMH-001,ECOM,HW_Damped_Mul,104,13,SUCCESS,False,0,,
2,IMH-001,ECOM,HW_Add_Add,117,13,SUCCESS,False,0,,
2,IMH-001,ECOM,HW_Damped_Add,117,13,SUCCESS,False,0,,
2,IMH-001,ECOM,HW_Damped_Mul,117,13,SUCCESS,True,1,Optimization failed to converge. Check mle_retvals.,
3,IMH-001,ECOM,HW_Add_Add,130,13,SUCCESS,False,0,,
3,IMH-001,ECOM,HW_Damped_Add,130,13,SUCCESS,True,1,Optimization failed to converge. Check mle_retvals.,
3,IMH-001,ECOM,HW_Damped_Mul,130,13,SUCCESS,False,0,,
4,IMH-001,ECOM,HW_Add_Add,143,13,SUCCESS,False,0,,
4,IMH-001,ECOM,HW_Damped_Add,143,13,SUCCESS,False,0,,
4,IMH-001,ECOM,HW_Damped_Mul,143,13,SUCCESS,False,0,,
5,IMH-001,ECOM,HW_Add_Add,156,13,SUCCESS,False,0,,
5,IMH-001,ECOM,HW_Damped_Add,156,13,SUCCESS,False,0,,
5,IMH-001,ECOM,HW_Damped_Mul,156,13,SUCCESS,False,0,,
6,IMH-001,ECOM,HW_Add_Add,169,13,SUCCESS,False,0,,
6,IMH-001,ECOM,HW_Damped_Add,169,13,SUCCESS,False,0,,
6,IMH-001,ECOM,HW_Damped_Mul,169,13,SUCCESS,False,0,,
7,IMH-001,ECOM,HW_Add_Add,182,13,SUCCESS,False,0,,
7,IMH-001,ECOM,HW_Damped_Add,182,13,SUCCESS,False,0,,
7,IMH-001,ECOM,HW_Damped_Mul,182,13,SUCCESS,False,0,,
8,IMH-001,ECOM,HW_Add_Add,195,13,SUCCESS,False,0,,
8,IMH-001,ECOM,HW_Damped_Add,195,13,SUCCESS,False,0,,
8,IMH-001,ECOM,HW_Damped_Mul,195,13,SUCCESS,False,0,,
9,IMH-001,ECOM,HW_Add_Add,208,13,SUCCESS,False,0,,
9,IMH-001,ECOM,HW_Damped_Add,208,13,SUCCESS,False,0,,
9,IMH-001,ECOM,HW_Damped_Mul,208,13,SUCCESS,False,0,,
10,IMH-001,ECOM,HW_Add_Add,221,13,SUCCESS,False,0,,
10,IMH-001,ECOM,HW_Damped_Add,221,13,SUCCESS,False,0,,
10,IMH-001,ECOM,HW_Damped_Mul,221,13,SUCCESS,False,0,,
11,IMH-001,ECOM,HW_Add_Add,234,13,SUCCESS,False,0,,
11,IMH-001,ECOM,HW_Damped_Add,234,13,SUCCESS,False,0,,
11,IMH-001,ECOM,HW_Damped_Mul,234,13,SUCCESS,False,0,,
12,IMH-001,ECOM,HW_Add_Add,247,13,SUCCESS,False,0,,
12,IMH-001,ECOM,HW_Damped_Add,247,13,SUCCESS,False,0,,
12,IMH-001,ECOM,HW_Damped_Mul,247,13,SUCCESS,False,0,,
